ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
76,21.0,46,6.9,3.6,0.8,0.9,0.046,0.124,0.173,0.491,0.06,1,3,46
76,22.0,52,11.6,5.2,1.9,-8.6,0.046,0.161,0.218,0.541,0.133,2,3,46
76,23.0,58,11.0,4.8,1.3,-7.6,0.049,0.162,0.213,0.541,0.098,3,3,46
57,23.0,18,5.4,1.3,0.6,7.1,0.025,0.075,0.1369999999999999,0.691,0.063,1,3,34
57,24.0,64,5.5,1.4,0.4,-5.6,0.015,0.065,0.111,0.635,0.032,2,3,34
57,25.0,65,10.0,2.9,1.0,-5.9,0.018,0.093,0.1369999999999999,0.602,0.052,3,3,34
326,20.0,61,5.6,4.0,0.7,-3.2,0.025,0.172,0.146,0.497,0.054,1,3,183
326,21.0,55,13.7,7.2,1.8,-13.1,0.027,0.193,0.218,0.491,0.091,2,3,183
326,22.0,69,10.8,6.3,1.4,-11.3,0.034,0.176,0.18,0.515,0.078,3,3,183
463,24.0,28,15.8,3.5,4.1,-2.1,0.01,0.095,0.193,0.589,0.188,1,3,255
463,25.0,63,8.3,2.6,1.7,-0.4,0.013,0.118,0.166,0.608,0.12,2,3,255
463,26.0,70,11.9,3.3,2.1,3.4,0.01,0.1,0.16,0.619,0.111,3,3,255
